Hd. Murah Baja,Tb	-6.455707, 106.6438292
TB borneo mas	-6.89493, 106.805984
Pembangunan Jaya, Tb	-6.431635, 106.7688483
TB Bahagia  	-6.405126, 106.759529
Cagar Alam	-6.4188572, 106.8020018
TB HM Aman	-6.432413, 106.8481
Tb Makmur bersama	-6.443064, 106.800381
TB bintang meruya	-6.402727, 106.734524
TB Abah	-6.397143, 106.743067
TB putra mandirii	-6.391245, 106.744314
TB harapan jayaa	-6.397143, 106.743067
Sahabat, Pb	-6.3929333, 106.769666
Sumber Jaya, Tk ( Kec. Leuwisadeng  )	-6.5614166, 106.5552986
Verosha Aginta Sentul	-6.5815736, 106.892206
TB Arrafi	-6.827492, 107.151196
TB. Mitra abafi	-6.2863355, 106.8479703
Sinar Mentari 1, Tk	-6.47373865, 106.7837571
Niaga 07,Pt	-6.4359741, 106.9665993
Permata, Tb	-6.56875452, 106.6298525
Wang Permai, Tb	-6.504831667, 106.823745
R&D, Tb (Sukabumi)	-7.32823383, 106.52214789
Golden Makmur 2	-6.433974146, 106.8583219
Ridwan Block, Tb (Cianjur)	-6.844308333, 107.1232583
UD Maju Bersama	-6.687604, 106.909285
Lima Bersaudara, Tb	-6.5931802, 106.6969285
Inti Jaya	-6.401789817, 106.8853102
Beton Lestari, Tb (Sukabumi)	-7.33691922, 106.57059698
Haji Fajri,Ud	-6.7479735, 106.7986648
Melati Jaya, Tb	-6.388379413, 106.6315739
Sumber Pancoran Mas, Tb	-6.4060816, 106.8000951
TB. Panca jaya	-6.325831, 106.860697
Sinar Cibinong, Tb	-6.477591667, 106.8446333
Sinar Terang,Tb (Pekapuran)	-6.391647924, 106.8732883
Suka Damai	-6.553175075470425, 106.7880405173139
Dunia Baru, Tb	-6.4497083, 106.9734946
Sumber Utama Jaya, Tb	-6.345351667, 107.0358183
Gilang, Pd (Cianjur)	-6.86954895, 106.8949283
Citra Utama,Tb	-6.4235919, 107.0346059
Mos Jaya	-6.525994367, 106.6960008
TB. Anugerah wijaya	-6.4278453, 106.846695
Jaya bersaudara	-6.525662, 106.800253
Bintang Timur, Tk	-6.419971667, 107.0043883
Artha Jaya, Tb	-6.61762912, 106.77500761
TB Aneka jaya	-6.3949078, 106.7959277
Kaliza Utama,Tk	-6.3788502, 106.7460591
King's Putra, Tb	-6.564588333, 106.8669717
Al-barokah	-6.6276334, 106.6571646
Murah Bangunan Kalisuren, Tk	-6.4713025, 106.7421287
Nusa Indah, Tb (Depok)	-6.38709, 106.783709
TB Tani jaya	-7.2586685, 106.6258351
Berkah 2, Tb	-6.4978809, 106.9026552
Sinar Abadi, Tb	-6.433535076, 106.8661139
Sinar Arco, Tb	-6.438970174, 106.7443146
Dewi Karya, Tb (Cianjur)	-6.820963333, 107.172945
Cahaya Mulia, Tk ( Cibungbulang )	-6.564629241, 106.6763673
Bina Karya Prima, Pt	-6.1950856, 106.9739541
Cilendek Jaya	-6.574262, 106.779437
TB mk m kahfi	-6.8875592, 107.0843026
Jembar Bangunan, Tb	-6.662028464, 106.6759566
Alfa Bangunan, Tb	-6.660583299, 106.7007355
Berkah Bangunan, Tb (Gn. Sindur)	-6.36607833333333, 106.715743333333
Cahaya Putra, Tb (Ciawi)	-6.6928184, 106.8893388
Hidup Makmur/Hidup Jaya, Tb	-6.47261298, 106.7824056
TB ciwalen jaya	-6.85673, 107.1096415
Material 88, Tk	-6.3918, 106.9531133
Bintang Terang 2	-6.4289222, 106.9978466
TB megah borneo	-6.814299, 106.767524
Mega Agung, Tk	-6.577596, 106.8183201
Sinar Anugrah Jaya. Tb	-6.753213333, 106.789715
Putra Semesta	-6.6448255, 106.7617877
Kusuma Abadi, Tb (Sukabumi)	-6.912445, 106.96038166
Hurip jaya perkasa	-6.671445, 106.660068
tb inti baja beton	-6.4399267, 106.7975035
Muliawan, Tb	-6.376522, 106.8513221
Harapan Jaya (Kabasiran), Tb	-6.375414867, 106.5870938
Muara Beres, Tk	-6.4739637, 106.8302497
Surya Gemilang. Tb (Parung)	-6.4176379, 106.7337876
Simpang Tiga (Tamansari), Pb	-6.646783333, 106.780245
Sinar Matahari, Tb	-6.34089986, 106.78695413
Kiat Tiasa Guna	-6.497047, 106.8111222
Amanah (Lw Liang)	-6.5851052, 106.6320777
Tms 2, Tb	-6.4746804, 106.7853414
Mega Raya, Tk	-6.47474494, 106.7727333
77, Tb	-6.38049015, 106.6942399
Town House Margonda	-6.3954925, 106.8262616
Puncak Jaya, Tb	-6.686783333, 106.9438167
Mandiri (Cimande), Tb	-6.55836198, 106.7833154
Mitra Hikmat A	-6.380973, 106.793218
Daya Lancar, Tb	-6.383916667, 106.9676633
Putri Tunggal, Tb (Cianjur)	-6.712293333, 107.22161166
tb. Guna bangunan	-6.325982, 106.859571
TB Lidio Jaya Makmur	-6.401211, 106.7341655
Cariu Makmur, Tk	-6.5016498, 107.1304852
Kemang 99, Tk	-6.4770259, 106.7301359
TB mitra	-6.384022, 106.786701
Sinar Makmur (Bojong Gede), Tb	-6.4942943, 106.7909953
Cahaya Bangunan (Kayu Manis), Tb	-6.53576575, 106.7693053
barokah	-6.918187, 106.912779
Sukses (Gandoang), Tb	-6.418983333, 107.0073217
TB jaya usaha baru	-6.419281, 106.796335
Mjt 2,Tb	-6.4238067, 106.8685755
Sinar Jaya (Cibinong), Tb	-6.542865, 106.8363233
Barokah, Tb	-6.372156227, 106.7341855
Bintang Mas (Pengasinan), Tb	-6.42433, 106.7520583
TB M Bangunan	-6.363273, 106.7377857
Rimba Makmur/Perum Taman Sari Residen	-6.3558193, 107.0293961
Sajirah, Tb	-6.3275839, 106.4617439
Ryan Jaya, Tb	-6.366101667, 106.9605333
Tb Abc	-6.387915, 106.838067
Cipining Jaya, Tb	-6.392914, 106.3846459
Mukti Jaya 2, Tb	-6.401289334, 106.8564693
Anugerah Mulia,Ud	-6.43439, 106.8664782
Kurnia Jaya	-6.3101763, 106.8799839
TB. PRIMA LOGAM	-6.3339276, 106.8525774
Jaya Baru Bangunan, Tb	-6.4593413, 106.7968616
Ddspr01058 - Jumbo Prima Graha,Pt	-6.56135, 106.8582774
Danish, Tb	-6.4512276, 106.801955
R3 Jaya, Tb (Sukabumi)	-6.94160429, 106.92429883
Bahagia, Tb	-6.37476, 106.751311
Tb. Gemilang sukses 2	-6.322013, 106.819376
Murah Jaya,Tb	-6.6215981, 106.8230345
Jaya Logam, Tb	-6.458818333, 106.8485517
Platinum Maju Jaya, Tk	-6.412053333, 107.0106417
Sepsaco Mandiri, Pt	-6.2122217, 106.8462183
Makmur ( Toko Subur Jaya )	-6.6961049, 106.8511175
Taman Makam Bahagia Abri, P	-6.2809623, 106.697891
Putra Jaya, Tb	-6.37034673, 106.8832876
Citra Bangunan 2, Tk	-6.45228, 107.06005
Cahaya Abadi, Tk ( Narogong )	-6.443048333, 106.944035
TB. Mentari	-6.359833, 106.8830442
Shaffa Residences Bogor	-6.5076121, 106.8134684
Sinar Bangunan (Kubil Jaya)	-6.485177, 106.7149911
 tb. Gombong jaya stell	-6.572313, 106.96893
berkah jaya mandiri 	-6.699062, 106.868863
Tb. Alam baru	-6.589711, 107.146016
ridwan blok	-6.848527, 107.148972
ekopan 2	-6.910304, 106.897566
Mia Sp4, Tb	-6.4635142, 106.788459
TB gunung jati	-6.933698, 106.971952
Tb Agung jaya	-6.453194, 106.8275068
Putra Tunggal Jaya, Tb (Cianjur)	-6.7829463, 107.1773505
Maju Jaya,Tb (Putat Nutug)	-6.5028311, 106.6820337
Maryanah Ty. Hs, Tb	-6.386370552, 106.8746794
TB Family	-6.973919, 106.825716
Cahaya Bangunan,Tb	-6.4327217, 106.7442133
TB Jaya Kembang	-6.432936, 106.749764
Putra Dimas, Tb	-6.4460524, 106.5642998
tb gekbrong jaya	-6.867731, 107.044322
Tri Jaya Mandiri, Tb	-6.4234247, 107.0350392
Arinda Jaya, Tb	-6.578341667, 106.643435
